Edges in the graph (u, v, w):
(150, 781, 9)
(150, 758, 43)
(150, 938, 47)
(150, 453, 22)
(150, 519, 49)
(150, 457, 28)
(150, 786, 12)
(150, 525, 9)
(150, 348, 13)
(150, 903, 12)
(150, 814, 17)
(150, 170, 17)
(150, 334, 11)
(150, 412, 48)
(151, 723, 16)
(151, 904, 48)
(151, 332, 44)
(151, 929, 19)
(151, 628, 32)
(151, 162, 31)
(151, 582, 15)
(151, 741, 42)
(151, 552, 6)
(151, 253, 14)
(151, 292, 47)
(151, 774, 26)
(151, 262, 15)
(151, 827, 33)
(151, 489, 3)
(151, 666, 50)
(151, 593, 42)
(151, 822, 4)
(151, 775, 25)
(151, 908, 38)
(151, 932, 7)
(151, 600, 15)
(151, 821, 1)
(151, 191, 13)
(152, 507, 2)
(152, 279, 28)
(152, 750, 32)
(152, 501, 31)
(152, 180, 37)
(152, 383, 7)
(152, 351, 31)
(152, 869, 50)
(152, 188, 34)
(152, 518, 6)
(152, 494, 42)
(152, 455, 4)
(152, 582, 10)
(153, 912, 34)
(153, 730, 47)
(153, 793, 4)
(153, 413, 6)
(153, 867, 11)
(153, 347, 13)
(153, 639, 33)
(153, 754, 45)
(153, 298, 24)
(153, 420, 19)
(153, 284, 19)
(153, 450, 5)
(153, 568, 11)
(153, 601, 11)
(153, 211, 44)
(153, 575, 11)
(154, 955, 23)
(154, 893, 30)
(154, 377, 4)
(154, 894, 10)
(154, 880, 44)
(154, 970, 2)
(154, 446, 41)
(154, 210, 24)
(154, 188, 42)
(154, 563, 38)
(154, 243, 36)
(154, 968, 33)
(154, 827, 9)
(154, 236, 41)
(155, 763, 47)
(155, 247, 17)
(155, 986, 21)
(155, 733, 16)
(155, 886, 31)
(155, 161, 29)
(155, 271, 28)
(155, 482, 50)
(155, 275, 31)
(155, 876, 4)
(155, 323, 45)
(155, 215, 8)
(155, 788, 33)
(155, 448, 29)
(155, 260, 3)
(155, 769, 2)
(156, 482, 25)
(156, 377, 8)
(156, 789, 30)
(156, 217, 50)
(156, 281, 8)
(156, 428, 48)
(156, 238, 29)
(156, 704, 29)
(156, 838, 45)
(156, 895, 46)
(156, 417, 21)
(156, 852, 45)
(156, 351, 48)
(156, 664, 23)
(156, 476, 32)
(156, 820, 41)
(156, 274, 22)
(157, 488, 2)
(157, 362, 50)
(157, 334, 26)
(157, 754, 11)
(157, 611, 10)
(157, 745, 7)
(157, 836, 24)
(157, 296, 44)
(157, 197, 33)
(157, 208, 21)
(157, 625, 5)
(157, 940, 3)
(157, 537, 7)
(157, 850, 14)
(157, 295, 49)
(158, 205, 30)
(158, 474, 41)
(158, 613, 9)
(158, 821, 15)
(158, 886, 38)
(158, 230, 40)
(158, 441, 46)
(158, 895, 15)
(158, 738, 8)
(158, 380, 8)
(158, 849, 46)
(158, 433, 33)
(158, 771, 28)
(158, 597, 46)
(158, 668, 49)
(158, 516, 31)
(158, 769, 13)
(158, 517, 12)
(158, 236, 33)
(158, 479, 28)
(158, 414, 25)
(158, 219, 8)
(158, 558, 25)
(158, 991, 18)
(158, 905, 10)
(158, 352, 33)
(159, 481, 19)
(159, 406, 16)
(159, 208, 50)
(159, 665, 16)
(159, 321, 39)
(159, 904, 7)
(159, 366, 22)
(159, 785, 15)
(159, 388, 37)
(159, 492, 47)
(159, 656, 25)
(159, 500, 10)
(159, 844, 49)
(159, 756, 34)
(159, 294, 24)
(160, 618, 26)
(160, 670, 17)
(160, 784, 28)
(160, 544, 44)
(160, 419, 25)
(160, 463, 33)
(160, 689, 27)
(160, 287, 3)
(160, 200, 47)
(160, 763, 36)
(160, 673, 11)
(160, 590, 48)
(160, 571, 4)
(161, 569, 17)
(161, 802, 27)
(161, 924, 18)
(161, 264, 3)
(161, 752, 33)
(161, 192, 11)
(161, 434, 46)
(161, 376, 15)
(161, 576, 12)
(161, 818, 44)
(161, 589, 42)
(161, 479, 17)
(161, 446, 15)
(161, 964, 44)
(161, 893, 3)
(161, 521, 43)
(161, 944, 19)
(162, 308, 31)
(162, 816, 25)
(162, 181, 23)
(162, 567, 16)
(162, 226, 12)
(163, 391, 4)
(163, 918, 5)
(163, 570, 40)
(163, 699, 15)
(163, 631, 40)
(163, 961, 29)
(163, 415, 39)
(163, 453, 3)
(163, 551, 39)
(163, 536, 43)
(163, 260, 9)
(163, 518, 40)
(163, 888, 36)
(163, 911, 10)
(163, 539, 46)
(163, 795, 14)
(163, 378, 29)
(163, 951, 15)
(163, 881, 25)
(164, 534, 34)
(164, 218, 14)
(164, 557, 27)
(164, 806, 45)
(164, 183, 48)
(164, 170, 49)
(164, 583, 8)
(164, 757, 2)
(164, 539, 15)
(164, 682, 40)
(164, 190, 26)
(164, 954, 45)
(164, 560, 42)
(164, 972, 39)
(164, 915, 11)
(164, 767, 5)
(164, 860, 1)
(165, 401, 32)
(165, 224, 16)
(165, 992, 24)
(165, 494, 23)
(165, 869, 7)
(165, 372, 4)
(165, 391, 40)
(165, 939, 9)
(165, 544, 25)
(165, 435, 25)
(165, 482, 21)
(165, 917, 49)
(165, 857, 41)
(165, 260, 8)
(165, 177, 45)
(165, 437, 9)
(165, 802, 8)
(165, 733, 2)
(165, 351, 43)
(165, 340, 43)
(165, 262, 18)
(165, 489, 49)
(165, 877, 31)
(165, 497, 7)
(166, 842, 25)
(166, 726, 8)
(166, 738, 31)
(166, 870, 26)
(166, 910, 10)
(166, 903, 11)
(166, 322, 22)
(166, 287, 28)
(166, 260, 38)
(166, 410, 6)
(166, 810, 18)
(166, 541, 35)
(167, 586, 33)
(167, 280, 28)
(167, 336, 36)
(167, 578, 43)
(167, 799, 5)
(167, 508, 43)
(167, 376, 6)
(167, 962, 35)
(167, 500, 25)
(167, 790, 27)
(167, 381, 12)
(167, 328, 24)
(167, 263, 48)
(167, 363, 3)
(167, 635, 48)
(168, 869, 38)
(168, 238, 24)
(168, 521, 17)
(168, 343, 26)
(168, 414, 25)
(168, 410, 23)
(168, 324, 30)
(168, 757, 4)
(168, 685, 40)
(168, 541, 43)
(168, 644, 23)
(168, 890, 18)
(168, 300, 15)
(168, 902, 8)
(168, 219, 13)
(168, 295, 17)
(168, 878, 26)
(168, 873, 24)
(168, 981, 12)
(168, 991, 47)
(169, 938, 47)
(169, 900, 50)
(169, 444, 16)
(169, 870, 8)
(169, 180, 45)
(169, 647, 16)
(169, 329, 31)
(169, 634, 36)
(169, 451, 12)
(169, 415, 49)
(169, 662, 27)
(169, 862, 31)
(169, 764, 49)
(169, 892, 47)
(169, 642, 6)
(169, 981, 12)
(170, 710, 2)
(170, 872, 29)
(170, 512, 39)
(170, 889, 44)
(170, 507, 35)
(170, 904, 10)
(170, 749, 5)
(170, 188, 7)
(170, 480, 31)
(170, 769, 7)
(170, 317, 29)
(170, 250, 32)
(170, 865, 43)
(170, 778, 20)
(170, 691, 34)
(170, 504, 38)
(170, 483, 7)
(170, 359, 24)
(170, 951, 38)
(171, 727, 2)
(171, 763, 14)
(171, 575, 9)
(171, 925, 37)
(171, 954, 23)
(171, 497, 46)
(171, 476, 25)
(171, 995, 2)
(171, 923, 21)
(171, 648, 7)
(171, 215, 45)
(171, 540, 48)
(171, 598, 33)
(171, 862, 4)
(171, 854, 26)
(171, 870, 9)
(171, 745, 8)
(171, 600, 29)
(171, 197, 7)
(171, 856, 1)
(171, 206, 28)
(172, 501, 4)
(172, 342, 12)
(172, 833, 20)
(172, 698, 17)
(172, 690, 12)
(172, 969, 46)
(172, 396, 28)
(172, 577, 8)
(172, 364, 45)
(172, 256, 3)
(172, 320, 46)
(172, 675, 48)
(172, 724, 1)
(172, 180, 30)
(173, 804, 31)
(173, 574, 47)
(173, 536, 26)
(173, 972, 5)
(173, 709, 31)
(173, 740, 43)
(173, 342, 25)
(173, 890, 18)
(173, 203, 28)
(173, 298, 29)
(173, 988, 7)
(173, 253, 46)
(173, 312, 13)
(173, 379, 31)
(173, 814, 44)
(173, 620, 9)
(173, 787, 18)
(174, 658, 23)
(174, 362, 50)
(174, 936, 25)
(174, 802, 15)
(174, 670, 1)
(174, 210, 17)
(174, 347, 39)
(174, 725, 6)
(174, 681, 11)
(174, 265, 31)
(174, 719, 38)
(174, 597, 7)
(175, 380, 34)
(175, 671, 9)
(175, 449, 8)
(175, 403, 42)
(175, 607, 34)
(175, 828, 9)
(175, 298, 42)
(175, 874, 48)
(175, 232, 43)
(175, 867, 29)
(175, 349, 12)
(175, 270, 17)
(175, 505, 42)
(175, 244, 26)
(176, 299, 10)
(176, 977, 4)
(176, 611, 8)
(176, 309, 10)
(176, 694, 37)
(176, 446, 7)
(176, 314, 3)
(176, 921, 10)
(176, 930, 6)
(176, 703, 39)
(176, 494, 47)
(176, 950, 49)
(176, 998, 35)
(176, 626, 49)
(176, 298, 49)
(176, 944, 29)
(176, 558, 44)
(176, 670, 21)
(176, 910, 22)
(176, 945, 15)
(176, 371, 27)
(177, 836, 1)
(177, 659, 14)
(177, 284, 37)
(177, 737, 47)
(177, 603, 14)
(177, 313, 38)
(177, 578, 13)
(177, 914, 26)
(177, 278, 4)
(177, 771, 18)
(177, 775, 44)
(177, 867, 44)
(177, 179, 41)
(177, 859, 16)
(177, 276, 9)
(177, 573, 19)
(177, 458, 3)
(177, 602, 50)
(177, 345, 34)
(177, 503, 49)
(177, 365, 25)
(178, 661, 5)
(178, 413, 17)
(178, 974, 35)
(178, 581, 35)
(178, 450, 31)
(178, 277, 1)
(178, 736, 2)
(178, 860, 32)
(178, 620, 47)
(178, 570, 31)
(178, 245, 1)
(178, 899, 34)
(178, 396, 15)
(178, 901, 2)
(178, 200, 10)
(178, 723, 13)
(178, 305, 49)
(178, 503, 31)
(178, 956, 2)
(178, 822, 42)
(178, 254, 34)
(178, 945, 1)
(179, 986, 42)
(179, 308, 41)
(179, 873, 34)
(179, 696, 41)
(179, 993, 29)
(179, 637, 36)
(179, 710, 25)
(179, 666, 15)
(179, 833, 4)
(179, 287, 21)
(179, 679, 9)
(179, 450, 14)
(179, 941, 48)
(179, 568, 24)
(180, 321, 14)
(180, 780, 10)
(180, 688, 32)
(180, 969, 11)
(180, 735, 38)
(180, 891, 49)
(180, 203, 30)
(180, 976, 26)
(180, 414, 26)
(180, 644, 26)
(180, 370, 21)
(180, 356, 9)
(181, 488, 32)
(181, 689, 17)
(181, 984, 1)
(181, 537, 36)
(181, 254, 6)
(181, 345, 26)
(181, 280, 23)
(181, 847, 33)
(181, 248, 27)
(181, 673, 4)
(181, 233, 22)
(181, 806, 22)
(181, 198, 28)
(181, 255, 32)
(181, 441, 50)
(181, 845, 21)
(181, 869, 32)
(182, 481, 18)
(182, 251, 50)
(182, 291, 3)
(182, 901, 32)
(182, 506, 31)
(182, 212, 28)
(182, 891, 12)
(182, 936, 22)
(182, 986, 16)
(182, 217, 1)
(182, 823, 47)
(182, 198, 4)
(182, 577, 3)
(182, 985, 29)
(182, 462, 37)
(182, 709, 18)
(182, 211, 37)
(183, 739, 21)
(183, 518, 29)
(183, 475, 35)
(183, 669, 26)
(183, 337, 8)
(183, 525, 39)
(183, 620, 3)
(183, 962, 22)
(183, 906, 26)
(183, 955, 21)
(183, 778, 40)
(183, 667, 20)
(183, 349, 18)
(183, 564, 28)
(183, 680, 18)
(183, 218, 4)
(183, 828, 40)
(183, 972, 37)
(183, 675, 21)
(183, 614, 37)
(183, 303, 22)
(184, 947, 39)
(184, 391, 43)
(184, 863, 45)
(184, 409, 34)
(184, 354, 5)
(184, 759, 17)
(184, 291, 29)
(184, 371, 23)
(184, 454, 39)
(184, 312, 37)
(184, 887, 12)
(184, 389, 40)
(184, 926, 34)
(184, 490, 22)
(185, 429, 20)
(185, 459, 17)
(185, 736, 42)
(185, 839, 22)
(185, 366, 11)
(185, 394, 39)
(185, 346, 23)
(185, 385, 13)
(185, 946, 12)
(185, 708, 22)
(185, 752, 17)
(185, 765, 6)
(185, 672, 6)
(185, 486, 24)
(185, 328, 15)
(185, 658, 13)
(185, 768, 22)
(186, 380, 47)
(186, 250, 15)
(186, 692, 22)
(186, 403, 6)
(186, 870, 30)
(186, 225, 11)
(186, 376, 36)
(186, 819, 20)
(186, 742, 40)
(186, 660, 16)
(186, 212, 9)
(186, 847, 47)
(186, 944, 2)
(187, 677, 32)
(187, 393, 37)
(187, 309, 4)
(187, 885, 20)
(187, 819, 2)
(187, 656, 28)
(187, 230, 45)
(187, 432, 26)
(187, 364, 24)
(187, 526, 33)
(187, 752, 41)
(187, 567, 5)
(187, 862, 33)
(187, 863, 8)
(187, 924, 37)
(187, 662, 20)
(187, 818, 28)
(187, 590, 28)
(187, 231, 39)
(187, 442, 7)
(187, 745, 39)
(187, 433, 40)
(188, 802, 36)
(188, 197, 22)
(188, 573, 15)
(188, 705, 5)
(188, 495, 16)
(188, 779, 25)
(188, 771, 28)
(188, 934, 48)
(188, 441, 3)
(188, 387, 10)
(188, 362, 3)
(188, 694, 41)
(188, 243, 5)
(188, 252, 22)
(188, 643, 49)
(188, 273, 25)
(189, 534, 42)
(189, 700, 42)
(189, 454, 45)
(189, 781, 45)
(189, 518, 34)
(189, 726, 44)
(189, 992, 49)
(189, 471, 4)
(189, 477, 14)
(189, 583, 10)
(189, 245, 24)
(189, 931, 17)
(189, 450, 43)
(189, 614, 49)
(189, 365, 32)
(189, 918, 22)
(189, 688, 43)
(189, 947, 23)
(189, 757, 3)
(189, 898, 12)
(190, 216, 50)
(190, 799, 47)
(190, 653, 24)
(190, 451, 19)
(190, 928, 44)
(190, 275, 30)
(190, 888, 32)
(190, 420, 47)
(190, 662, 44)
(190, 515, 38)
(190, 363, 6)
(190, 276, 43)
(190, 508, 36)
(190, 583, 30)
(190, 679, 13)
(190, 253, 47)
(190, 460, 28)
(190, 826, 13)
(191, 715, 38)
(191, 743, 4)
(191, 867, 23)
(191, 311, 1)
(191, 252, 33)
(191, 308, 15)
(191, 817, 46)
(191, 865, 30)
(191, 693, 27)
(191, 561, 7)
(191, 534, 29)
(191, 878, 7)
(191, 245, 19)
(191, 699, 44)
(191, 931, 14)
(191, 889, 17)
(191, 654, 18)
(191, 814, 6)
(191, 588, 36)
(192, 745, 25)
(192, 312, 26)
(192, 972, 9)
(192, 740, 47)
(192, 224, 28)
(192, 621, 13)
(192, 988, 8)
(192, 525, 10)
(192, 758, 17)
(192, 377, 4)
(192, 319, 47)
(192, 204, 19)
(192, 232, 41)
(192, 217, 24)
(192, 762, 23)
(192, 517, 27)
(192, 664, 30)
(192, 306, 16)
(192, 450, 12)
(192, 645, 14)
(192, 551, 39)
(193, 765, 45)
(193, 197, 43)
(193, 694, 28)
(193, 230, 7)
(193, 589, 12)
(193, 453, 50)
(193, 824, 7)
(193, 284, 38)
(193, 419, 45)
(193, 302, 37)
(193, 270, 30)
(193, 819, 35)
(193, 921, 7)
(193, 479, 9)
(193, 271, 7)
(194, 454, 26)
(194, 652, 12)
(194, 380, 7)
(194, 605, 11)
(194, 536, 14)
(194, 944, 25)
(194, 388, 42)
(194, 412, 33)
(194, 692, 44)
(195, 951, 7)
(195, 752, 33)
(195, 211, 32)
(195, 666, 35)
(195, 879, 14)
(195, 260, 49)
(195, 913, 41)
(195, 230, 28)
(195, 561, 43)
(195, 416, 50)
(195, 402, 28)
(195, 577, 9)
(196, 206, 2)
(196, 375, 22)
(196, 837, 11)
(196, 597, 12)
(196, 648, 25)
(196, 229, 36)
(196, 852, 5)
(196, 955, 36)
(196, 476, 50)
(196, 843, 1)
(196, 877, 20)
(196, 441, 37)
(196, 830, 3)
(196, 439, 23)
(196, 392, 7)
(196, 720, 37)
(196, 286, 5)
(196, 424, 32)
(196, 384, 39)
(196, 586, 29)
(197, 907, 34)
(197, 284, 4)
(197, 863, 1)
(197, 500, 27)
(197, 959, 20)
(197, 350, 29)
(197, 495, 44)
(197, 933, 47)
(197, 993, 22)
(197, 724, 38)
(197, 703, 48)
(197, 991, 27)
(197, 960, 24)
(197, 318, 7)
(197, 488, 44)
(198, 387, 11)
(198, 245, 15)
(198, 801, 40)
(198, 210, 17)
(198, 827, 41)
(198, 766, 19)
(198, 234, 17)
(198, 871, 30)
(198, 350, 37)
(198, 443, 42)
(198, 877, 6)
(198, 452, 21)
(198, 395, 10)
(198, 661, 13)
(198, 711, 34)
(198, 799, 35)
(198, 419, 32)
(198, 344, 43)
(199, 533, 34)
(199, 889, 46)
(199, 866, 14)
(199, 825, 17)
(199, 342, 44)
(199, 656, 2)
(199, 457, 1)
(199, 462, 38)
(199, 384, 5)
(199, 296, 8)
(199, 522, 39)
(199, 272, 37)
(199, 893, 31)
(199, 679, 25)
(199, 668, 37)
(200, 229, 2)
(200, 453, 28)
(200, 718, 41)
(200, 967, 29)
(200, 355, 23)
(200, 945, 9)
(200, 342, 4)
(200, 463, 49)
(200, 625, 43)
(200, 249, 42)
(200, 822, 22)
(200, 536, 2)
(200, 356, 45)
(200, 212, 13)
(200, 998, 36)
(200, 577, 39)
(201, 661, 9)
(201, 683, 5)
(201, 956, 27)
(201, 470, 48)
(201, 402, 50)
(201, 478, 27)
(201, 345, 4)
(201, 868, 48)
(201, 732, 38)
(201, 500, 18)
(201, 405, 8)
(201, 468, 37)
(201, 999, 5)
(201, 485, 21)
(201, 828, 45)
(201, 829, 25)
(201, 625, 8)
(201, 718, 2)
(201, 576, 45)
(201, 556, 10)
(201, 717, 35)
(202, 464, 12)
(202, 239, 16)
(202, 459, 42)
(202, 428, 36)
(202, 961, 38)
(202, 770, 22)
(202, 336, 24)
(202, 774, 13)
(202, 953, 19)
(202, 358, 49)
(202, 409, 49)
(202, 391, 37)
(202, 947, 43)
(202, 319, 28)
(202, 247, 31)
(202, 737, 4)
(203, 617, 33)
(203, 343, 34)
(203, 395, 17)
(203, 383, 21)
(203, 880, 20)
(203, 885, 34)
(203, 718, 40)
(203, 994, 24)
(203, 211, 38)
(203, 862, 7)
(203, 722, 18)
(203, 264, 14)
(204, 399, 29)
(204, 493, 50)
(204, 605, 45)
(204, 637, 36)
(204, 719, 45)
(204, 998, 49)
(204, 718, 13)
(204, 357, 8)
(204, 416, 27)
(204, 465, 40)
(204, 218, 4)
(204, 691, 2)
(204, 521, 30)
(204, 918, 13)
(204, 632, 45)
(204, 300, 43)
(204, 280, 20)
(205, 815, 46)
(205, 343, 26)
(205, 382, 50)
(205, 750, 39)
(205, 363, 24)
(205, 618, 33)
(205, 261, 5)
(205, 557, 47)
(205, 647, 41)
(205, 802, 14)
(205, 952, 42)
(205, 896, 16)
(206, 275, 1)
(206, 545, 28)
(206, 912, 39)
(206, 448, 35)
(206, 925, 43)
(206, 301, 7)
(206, 739, 8)
(206, 223, 35)
(206, 605, 14)
(206, 952, 36)
(206, 386, 3)
(206, 957, 26)
(206, 863, 24)
(206, 404, 30)
(206, 797, 19)
(206, 349, 47)
(206, 962, 19)
(207, 870, 3)
(207, 982, 11)
(207, 258, 5)
(207, 452, 21)
(207, 808, 4)
(207, 366, 5)
(207, 764, 13)
(207, 941, 11)
(207, 219, 19)
(207, 938, 1)
(207, 729, 18)
(207, 574, 7)
(207, 332, 17)
(207, 461, 34)
(207, 771, 18)
(207, 682, 40)
(207, 884, 15)
(208, 793, 11)
(208, 369, 20)
(208, 548, 17)
(208, 552, 8)
(208, 772, 12)
(208, 720, 12)
(208, 773, 8)
(208, 736, 30)
(208, 824, 35)
(208, 333, 32)
(208, 730, 41)
(208, 995, 47)
(208, 487, 11)
(208, 789, 36)
(208, 385, 12)
(208, 837, 32)
(208, 990, 11)
(208, 795, 35)
(209, 812, 27)
(209, 525, 36)
(209, 783, 40)
(209, 468, 4)
(209, 583, 27)
(209, 395, 37)
(209, 853, 33)
(209, 342, 21)
(209, 938, 10)
(209, 426, 18)
(209, 504, 39)
(209, 563, 33)
(210, 577, 25)
(210, 733, 34)
(210, 950, 46)
(210, 313, 5)
(210, 348, 46)
(210, 582, 43)
(210, 992, 42)
(210, 596, 4)
(210, 267, 2)
(210, 389, 25)
(210, 376, 45)
(210, 450, 23)
(210, 999, 23)
(210, 989, 1)
(210, 526, 35)
(210, 248, 4)
(210, 381, 14)
(211, 750, 13)
(211, 672, 18)
(211, 497, 23)
(211, 493, 49)
(211, 783, 27)
(211, 384, 41)
(211, 328, 38)
(211, 887, 42)
(211, 567, 27)
(211, 637, 17)
(212, 366, 24)
(212, 348, 27)
(212, 590, 36)
(212, 751, 24)
(212, 353, 9)
(212, 836, 4)
(212, 877, 19)
(212, 773, 19)
(213, 248, 28)
(213, 834, 30)
(213, 458, 26)
(213, 642, 32)
(213, 909, 48)
(213, 598, 49)
(213, 288, 31)
(213, 594, 28)
(213, 507, 7)
(214, 327, 20)
(214, 474, 38)
(214, 644, 49)
(214, 499, 49)
(214, 626, 43)
(214, 378, 37)
(214, 481, 37)
(214, 460, 38)
(214, 724, 4)
(214, 434, 42)
(214, 285, 6)
(214, 946, 41)
(214, 956, 11)
(214, 262, 16)
(214, 868, 5)
(214, 804, 25)
(214, 817, 24)
(215, 559, 2)
(215, 812, 30)
(215, 673, 44)
(215, 219, 1)
(215, 806, 21)
(215, 747, 24)
(215, 990, 29)
(215, 632, 31)
(215, 737, 46)
(215, 318, 49)
(215, 890, 50)
(215, 938, 12)
(215, 422, 28)
(215, 593, 31)
(215, 255, 47)
(216, 838, 33)
(216, 234, 9)
(216, 784, 6)
(216, 673, 44)
(216, 681, 30)
(216, 909, 22)
(216, 418, 23)
(216, 780, 31)
(216, 998, 47)
(216, 453, 17)
(216, 606, 10)
(216, 984, 44)
(217, 462, 33)
(217, 338, 45)
(217, 344, 9)
(217, 501, 10)
(217, 851, 15)
(217, 467, 16)
(217, 984, 26)
(217, 661, 4)
(217, 556, 4)
(217, 257, 50)
(217, 605, 2)
(217, 300, 21)
(218, 251, 19)
(218, 298, 37)
(218, 934, 18)
(218, 895, 1)
(218, 932, 29)
(218, 710, 11)
(218, 389, 22)
(218, 531, 27)
(218, 905, 34)
(218, 341, 45)
(218, 587, 29)
(218, 467, 35)
(218, 384, 41)
(218, 573, 43)
(218, 365, 41)
(218, 845, 17)
(218, 801, 17)
(218, 526, 36)
(219, 661, 29)
(219, 854, 25)
(219, 312, 34)
(219, 859, 33)
(219, 747, 34)
(219, 635, 4)
(219, 513, 24)
(219, 779, 28)
(219, 762, 24)
(219, 377, 8)
(219, 751, 9)
(219, 816, 28)
(219, 729, 46)
(220, 670, 25)
(220, 700, 10)
(220, 248, 48)
(220, 648, 9)
(220, 301, 5)
(220, 612, 26)
(220, 331, 1)
(220, 637, 11)
(220, 507, 33)
(220, 523, 6)
(220, 599, 30)
(220, 999, 5)
(221, 689, 29)
(221, 653, 22)
(221, 290, 3)
(221, 382, 10)
(221, 335, 31)
(221, 778, 32)
(221, 554, 23)
(221, 818, 32)
(221, 905, 20)
(221, 283, 16)
(221, 329, 25)
(221, 846, 29)
(222, 850, 27)
(222, 339, 24)
(222, 880, 33)
(222, 583, 21)
(222, 385, 31)
(222, 586, 48)
(222, 425, 32)
(222, 317, 23)
(222, 496, 26)
(222, 842, 25)
(222, 655, 35)
(222, 705, 6)
(222, 745, 39)
(222, 755, 11)
(222, 644, 39)
(222, 401, 37)
(222, 935, 6)
(222, 468, 10)
(222, 853, 13)
(223, 874, 10)
(223, 807, 42)
(223, 904, 50)
(223, 739, 36)
(223, 260, 38)
(223, 608, 12)
(223, 799, 44)
(223, 554, 50)
(223, 287, 17)
(223, 256, 28)
(223, 339, 47)
(223, 368, 44)
(223, 511, 35)
(223, 834, 11)
(223, 451, 40)
(223, 516, 19)
(223, 972, 45)
(224, 629, 2)
(224, 598, 7)
(224, 704, 44)
(224, 890, 30)
(224, 688, 49)
(224, 643, 6)
(224, 788, 15)
(224, 894, 50)
(224, 324, 18)
(224, 926, 16)
(224, 403, 39)
(224, 440, 41)
(224, 728, 14)
(224, 769, 1)
(225, 462, 4)
(225, 320, 37)
(225, 416, 18)
(225, 493, 21)
(225, 818, 7)
(225, 891, 49)
(225, 558, 44)
(225, 710, 28)
(225, 748, 36)
(225, 570, 33)
(225, 250, 32)
(226, 486, 22)
(226, 704, 20)
(226, 567, 46)
(226, 524, 25)
(226, 240, 19)
(226, 703, 45)
(226, 265, 43)
(226, 760, 19)
(226, 862, 43)
(226, 720, 16)
(226, 785, 28)
(226, 448, 50)
(226, 950, 34)
(227, 574, 18)
(227, 603, 8)
(227, 412, 20)
(227, 636, 4)
(227, 806, 10)
(227, 615, 18)
(227, 355, 26)
(227, 427, 49)
(227, 371, 1)
(228, 580, 15)
(228, 373, 24)
(228, 533, 35)
(228, 827, 8)
(228, 271, 50)
(228, 521, 33)
(228, 586, 38)
(228, 659, 8)
(228, 632, 6)
(228, 617, 43)
(228, 949, 30)
(228, 463, 46)
(228, 776, 49)
(228, 865, 7)
(228, 494, 20)
(228, 497, 26)
(228, 895, 25)
(228, 848, 48)
(228, 801, 42)
(228, 279, 20)
(228, 507, 7)
(228, 590, 40)
(228, 602, 20)
(228, 393, 16)
(229, 263, 5)
(229, 515, 29)
(229, 321, 50)
(229, 412, 28)
(229, 555, 22)
(229, 511, 45)
(229, 673, 27)
(229, 489, 39)
(229, 358, 26)
(229, 485, 29)
(229, 484, 47)
(229, 736, 29)
(229, 473, 12)
(230, 630, 12)
(230, 449, 49)
(230, 526, 47)
(230, 905, 27)
(230, 662, 20)
(230, 616, 10)
(230, 796, 46)
(230, 348, 49)
(230, 433, 31)
(230, 415, 27)
(230, 952, 5)
(231, 245, 49)
(231, 535, 29)
(231, 568, 21)
(231, 887, 24)
(231, 687, 25)
(231, 301, 34)
(231, 426, 27)
(231, 473, 17)
(231, 382, 33)
(231, 576, 19)
(231, 801, 34)
(231, 733, 11)
(231, 362, 47)
(232, 646, 26)
(232, 946, 19)
(232, 257, 39)
(232, 860, 4)
(232, 852, 19)
(232, 406, 26)
(232, 719, 3)
(232, 997, 37)
(232, 943, 20)
(232, 889, 42)
(232, 974, 17)
(232, 549, 16)
(232, 861, 22)
(232, 297, 27)
(232, 651, 11)
(232, 588, 31)
(232, 655, 29)
(232, 857, 45)
(232, 919, 50)
(233, 291, 24)
(233, 382, 45)
(233, 893, 27)
(233, 720, 8)
(233, 621, 38)
(233, 432, 2)
(233, 344, 50)
(233, 901, 2)
(233, 892, 6)
(233, 889, 16)
(233, 737, 2)
(233, 368, 16)
(233, 962, 48)
(233, 878, 50)
(233, 283, 23)
(234, 662, 31)
(234, 956, 18)
(234, 682, 50)
(234, 790, 23)
(234, 344, 10)
(234, 406, 20)
(234, 869, 44)
(235, 373, 14)
(235, 260, 12)
(235, 365, 5)
(235, 818, 42)
(235, 895, 5)
(235, 857, 8)
(235, 748, 44)
(235, 424, 45)
(235, 918, 4)
(236, 303, 37)
(236, 330, 39)
(236, 446, 33)
(236, 828, 16)
(236, 701, 48)
(236, 411, 48)
(236, 311, 12)
(236, 834, 38)
(236, 298, 35)
(236, 334, 11)
(236, 906, 7)
(236, 287, 46)
(236, 337, 33)
(237, 434, 47)
(237, 836, 45)
(237, 726, 3)
(237, 756, 26)
(237, 800, 2)
(237, 974, 23)
(237, 576, 17)
(237, 468, 10)
(237, 287, 14)
(237, 377, 45)
(237, 575, 40)
(237, 479, 50)
(237, 408, 34)
(237, 359, 28)
(237, 566, 33)
(237, 336, 24)
(237, 996, 30)
(237, 302, 15)
(238, 269, 34)
(238, 320, 20)
(238, 909, 4)
(238, 378, 50)
(238, 609, 50)
(238, 752, 45)
(238, 550, 10)
(238, 273, 43)
(239, 735, 30)
(239, 254, 48)
(239, 652, 17)
(239, 869, 24)
(239, 263, 37)
(239, 831, 48)
(239, 622, 46)
(239, 466, 23)
(239, 755, 37)
(239, 526, 28)
(239, 776, 49)
(239, 327, 5)
(239, 605, 9)
(239, 670, 35)
(239, 600, 28)
(240, 540, 48)
(240, 852, 22)
(240, 630, 22)
